"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","NumChildren","NumDescendents","selected","shared name"
"2","-0.999","-0.7531","0.0041","NOTCH-HLH 
TRANSCRIPTION 
PATHWAY%REACTOME%R-HSA-350054.3 ","0.216","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|NCOR1|KAT2B|HDAC11|NOTCH2|HDAC10|HDAC8|HDAC5|HDAC4|HDAC9|HDAC6|HDAC7|HDAC2|TBL1XR1|HDAC1|NCOR2|HDAC3|TBL1X","Notch-HLH transcription pathway","26","ENR","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3","-1.65","0.001","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3",,,"false","NOTCH-HLH TRANSCRIPTION PATHWAY%REACTOME%R-HSA-350054.3"
"2","-1.0","-0.8524","1.0E-4","REGULATION OF 
BETA-CELL 
DEVELOPMENT%REACTOME%R-HSA-186712.2 ","0.005","AKT1|KAT2A|CREBBP|MAML2|MAML1|FOXO1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|AKT2|AKT3|EP300|KAT2B","Regulation of beta-cell development","15","ENR","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2","-1.7694","0.0","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2",,,"false","REGULATION OF BETA-CELL DEVELOPMENT%REACTOME%R-HSA-186712.2"
"2","-1.0","-0.6354","0.0801","CONSTITUTIVE 
SIGNALING BY 
NOTCH1 HD+PEST 
DOMAIN 
MUTANTS%REACTOME 
DATABASE ID 
RELEASE 
75%2894862 ","1.0","MYC|KAT2A|UBB|CREBBP|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|APH1B|SNW1|UBA52|JAG1|NCOR1|EP300|KAT2B|CUL1|HDAC11|CCNC|SKP1|HDAC10|HDAC8|HDAC5|CDK8|HDAC4|HDAC9|HDAC6|PSEN1|HDAC7|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|RBX1|HDAC2|ADAM10|ADAM17|TBL1XR1|HDAC1|NCOR2|HDAC3|MIB2|TBL1X|MIB1|NEURL1","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants","48","ENR","CONSTITUTIVE SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2894862","-1.4417","0.0","CONSTITUTIVE SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2894862",,,"false","CONSTITUTIVE SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2894862"
"2","-1.0","-0.6354","0.0729","CONSTITUTIVE 
SIGNALING BY 
NOTCH1 PEST 
DOMAIN 
MUTANTS%REACTOME 
DATABASE ID 
RELEASE 
75%2644606 ","1.0","MYC|KAT2A|UBB|CREBBP|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|APH1B|SNW1|UBA52|JAG1|NCOR1|EP300|KAT2B|CUL1|HDAC11|CCNC|SKP1|HDAC10|HDAC8|HDAC5|CDK8|HDAC4|HDAC9|HDAC6|PSEN1|HDAC7|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|RBX1|HDAC2|ADAM10|ADAM17|TBL1XR1|HDAC1|NCOR2|HDAC3|MIB2|TBL1X|MIB1|NEURL1","Constitutive Signaling by NOTCH1 PEST Domain Mutants","48","ENR","CONSTITUTIVE SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2644606","-1.4533","0.0","CONSTITUTIVE SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2644606",,,"false","CONSTITUTIVE SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS%REACTOME DATABASE ID RELEASE 75%2644606"
"2","-1.0","-0.7057","0.0379","POSITIVE 
REGULATION OF 
NOTCH SIGNALING 
PATHWAY%GOBP%GO:0045747 ","0.968","SRC|CREBBP|IL6ST|MAML2|MAML1|RBPJ|ITGB1BP1|MAML3|PRKCI|PDCD10|NOTCH1|EPN2|SNW1|TP63|JAG1|POGLUT1|EP300|BMP2K|KAT2B|TM2D3|TSPAN5|NOD2|ZMIZ1|TSPAN14|AAK1|STAT3|ROBO1","positive regulation of Notch signaling pathway","27","ENR","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747","-1.538","0.0","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747",,,"false","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747"
"2","-1.0","-0.6648","0.0543","NOTCH1 
INTRACELLULAR 
DOMAIN REGULATES 
TRANSCRIPTION%REACTOME%R-HSA-2122947.3 ","1.0","MYC|KAT2A|CREBBP|UBB|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|UBA52|NCOR1|EP300|KAT2B|CUL1|NBEA|HDAC11|SKP1|CCNC|HDAC10|TLE4|HDAC8|TLE2|HDAC5|CDK8|HDAC4|TLE1|HDAC9|HDAC6|HDAC7|RPS27A|RBX1|HDAC2|TBL1XR1|HDAC1|NCOR2|HIF1A|HDAC3|TBL1X","NOTCH1 Intracellular Domain Regulates Transcription","41","ENR","NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.3","-1.504","0.0","NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.3",,,"false","NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-2122947.3"
"2","-0.999","-0.6354","0.0653","SIGNALING BY 
NOTCH1 HD+PEST 
DOMAIN MUTANTS IN 
CANCER%REACTOME 
DATABASE ID 
RELEASE 
75%2894858 ","1.0","MYC|KAT2A|UBB|CREBBP|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|APH1B|SNW1|UBA52|JAG1|NCOR1|EP300|KAT2B|CUL1|HDAC11|CCNC|SKP1|HDAC10|HDAC8|HDAC5|CDK8|HDAC4|HDAC9|HDAC6|PSEN1|HDAC7|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|RBX1|HDAC2|ADAM10|ADAM17|TBL1XR1|HDAC1|NCOR2|HDAC3|MIB2|TBL1X|MIB1|NEURL1","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer","48","ENR","SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 75%2894858","-1.4699","0.001","SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 75%2894858",,,"false","SIGNALING BY NOTCH1 HD+PEST DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 75%2894858"
"2","-1.0","-0.6354","0.07","SIGNALING BY 
NOTCH1 IN 
CANCER%REACTOME%R-HSA-2644603.2 ","1.0","MYC|KAT2A|UBB|CREBBP|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|APH1B|SNW1|UBA52|JAG1|NCOR1|EP300|KAT2B|CUL1|HDAC11|CCNC|SKP1|HDAC10|HDAC8|HDAC5|CDK8|HDAC4|HDAC9|HDAC6|PSEN1|HDAC7|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|RBX1|HDAC2|ADAM10|ADAM17|TBL1XR1|HDAC1|NCOR2|HDAC3|MIB2|TBL1X|MIB1|NEURL1","Signaling by NOTCH1 in Cancer","48","ENR","SIGNALING BY NOTCH1 IN CANCER%REACTOME%R-HSA-2644603.2","-1.4592","0.0","SIGNALING BY NOTCH1 IN CANCER%REACTOME%R-HSA-2644603.2",,,"false","SIGNALING BY NOTCH1 IN CANCER%REACTOME%R-HSA-2644603.2"
"2","-0.999","-0.6354","0.0667","SIGNALING BY 
NOTCH1 PEST 
DOMAIN MUTANTS IN 
CANCER%REACTOME%R-HSA-2644602.1 ","1.0","MYC|KAT2A|UBB|CREBBP|MAML2|MAML1|UBC|MAMLD1|RBPJ|MAML3|NOTCH1|APH1B|SNW1|UBA52|JAG1|NCOR1|EP300|KAT2B|CUL1|HDAC11|CCNC|SKP1|HDAC10|HDAC8|HDAC5|CDK8|HDAC4|HDAC9|HDAC6|PSEN1|HDAC7|PSENEN|APH1A|NCSTN|RPS27A|PSEN2|RBX1|HDAC2|ADAM10|ADAM17|TBL1XR1|HDAC1|NCOR2|HDAC3|MIB2|TBL1X|MIB1|NEURL1","Signaling by NOTCH1 PEST Domain Mutants in Cancer","48","ENR","SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS IN CANCER%REACTOME%R-HSA-2644602.1","-1.4673","0.001","SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS IN CANCER%REACTOME%R-HSA-2644602.1",,,"false","SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS IN CANCER%REACTOME%R-HSA-2644602.1"
"2","-1.0","-0.7909","0.004","NOTCH3 
INTRACELLULAR 
DOMAIN REGULATES 
TRANSCRIPTION%REACTOME%R-HSA-9013508.1 ","0.203","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|EP300|STAT1|KAT2B|PLXND1|PTCRA|PBX1","NOTCH3 Intracellular Domain Regulates Transcription","15","ENR","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1","-1.6535","0.0","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1",,,"false","NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013508.1"
"2","-1.0","-0.8478","3.0E-4","NOTCH4 
INTRACELLULAR 
DOMAIN REGULATES 
TRANSCRIPTION%REACTOME%R-HSA-9013695.1 ","0.015","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|EP300|KAT2B|SMAD3|ACTA2|FLT4|NOTCH2","NOTCH4 Intracellular Domain Regulates Transcription","15","ENR","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1","-1.7503","0.0","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1",,,"false","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1"
,"-0.998","-0.6742","0.0651","FCERI MEDIATED 
CA+2 
MOBILIZATION%REACTOME%R-HSA-2871809.1 ","1.0","LCP2|SOS1|PPP3CA|PPP3R1|PPP3CB|ITPR1|NFATC3|ITPR2|ITPR3|NFATC1|ITK|NFATC2|AHCYL1|SYK|VAV3|PLCG2|VAV2|PLCG1|TXK|VAV1|LYN|BTK|CALM1|TEC|GRAP2","FCERI mediated Ca+2 mobilization","25","ENR","FCERI MEDIATED CA+2 MOBILIZATION%REACTOME%R-HSA-2871809.1","-1.4721","0.002","FCERI MEDIATED CA+2 MOBILIZATION%REACTOME%R-HSA-2871809.1",,,"false","FCERI MEDIATED CA+2 MOBILIZATION%REACTOME%R-HSA-2871809.1"
,"-0.9816","-0.6798","0.0878","MICROTUBULE 
ANCHORING%GOBP%GO:0034453 ","1.0","CLASP1|CLASP2|DAG1|BICD2|KIF3A|CEP19|BBS4|PCM1|GCC2|NIN|BCCIP|HOOK3|NINL|CCDC120|BICD1|PEX14|DCTN1","microtubule anchoring","17","ENR","MICROTUBULE ANCHORING%GOBP%GO:0034453","-1.4249","0.0184","MICROTUBULE ANCHORING%GOBP%GO:0034453",,,"false","MICROTUBULE ANCHORING%GOBP%GO:0034453"
"20","-1.0","-0.7238","0.0041","PRE-NOTCH 
EXPRESSION AND 
PROCESSING%REACTOME%R-HSA-1912422.1 ","0.214","KAT2A|CREBBP|MAML2|MAML1|LFNG|ST3GAL6|B4GALT1|MAMLD1|RBPJ|FURIN|MAML3|RAB6A|PRKCI|NOTCH1|ATP2A3|ATP2A2|SNW1|RFNG|POGLUT1|POFUT1|EP300|MFNG|KAT2B|ST3GAL4|ST3GAL3|TMED2|NOTCH2|E2F3|TFDP1|TFDP2|SIRT6|JUN|RUNX1|TP53|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|SEL1L|MOV10","Pre-NOTCH Expression and Processing","43","ENR","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1","-1.6502","0.0","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1",,,"false","PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.1"
"20","-1.0","-0.7779","6.0E-4","PRE-NOTCH 
TRANSCRIPTION 
AND 
TRANSLATION%REACTOME%R-HSA-1912408.4 ","0.031","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|PRKCI|NOTCH1|SNW1|EP300|KAT2B|NOTCH2|E2F3|TFDP1|TFDP2|SIRT6|JUN|RUNX1|TP53|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|MOV10","Pre-NOTCH Transcription and Translation","28","ENR","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4","-1.7253","0.0","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4",,,"false","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4"
"20","-0.9805","-0.6849","0.088","PRE-NOTCH 
PROCESSING IN 
GOLGI%REACTOME 
DATABASE ID 
RELEASE 
75%1912420 ","1.0","SEL1L|LFNG|ST3GAL6|B4GALT1|FURIN|RAB6A|NOTCH1|ATP2A3|ATP2A2|RFNG|MFNG|ST3GAL4|ST3GAL3|TMED2|NOTCH2","Pre-NOTCH Processing in Golgi","15","ENR","PRE-NOTCH PROCESSING IN GOLGI%REACTOME DATABASE ID RELEASE 75%1912420","-1.4258","0.0195","PRE-NOTCH PROCESSING IN GOLGI%REACTOME DATABASE ID RELEASE 75%1912420",,,"false","PRE-NOTCH PROCESSING IN GOLGI%REACTOME DATABASE ID RELEASE 75%1912420"
"1","-0.996","-0.6563","0.0651","BIOCARTA_
KERATINOCYTE_
PATHWAY%MSIGDB_
C2%BIOCARTA_
KERATINOCYTE_
PATHWAY","1.0","CEBPA|MAPK8|TNFRSF1B|HRAS|MAP2K4|NFKBIA|PRKCB|RAF1|PRKCA|BCL2|IKBKB|PRKCE|CHUK|TNFRSF1A|ETS2|MAPK1|JUN|PPP2CA|MAPK3|MAP2K1|PRKCQ|PRKCH|FOS|EGF|SP1|MAP2K3|MAPK14|MAP3K1|MAPK13|RELA|RIPK1|TRAF2|MAP2K6|NFKB1|MAP3K5","BIOCARTA_KERATINOCYTE_PATHWAY","35","ENR","BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY","-1.4723","0.004","BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY",,,"false","BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY"
"1","-1.0","-0.593","0.0957","PDGFR-BETA 
SIGNALING 
PATHWAY%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%PDGFR-BETA 
SIGNALING 
PATHWAY ","1.0","MYC|EIF2AK2|HRAS|YWHAE|YWHAQ|YWHAG|YWHAB|PTEN|RAF1|EPS8|PIK3CA|MAP2K2|PRKCE|SHC1|FGR|STAT3|PIK3R1|KSR1|MAPK1|HCK|FYN|MAPK3|STAT5B|YWHAZ|VAV2|ABL1|MAP2K1|ABI1|RPS6KA3|PLA2G4A|MAP2K4|RAP1B|BRAF|ITGB3|ITGAV|STAT1|ARHGDIA|PIK3CB|GAB1|PLCG1|KRAS|NCK1|IQGAP1|PTPRJ|ACTN4|NCK2|PTPN2|PRKCD|DNM2|YWHAH|WASL|PPP2R2B|ELK1|USP6NL|SLA|RAB4A|DOCK4|ARAP1|TAGLN|SIPA1|PIK3R6|PIK3CG|PAG1|LRP1|PIN1|S1PR1|CTTN|ARPC1B|ARPC4|ARPC5|PDGFRB|ARPC3|SRC|BRK1|WASF2|PTPN11|BAIAP2|CYFIP2|PRKCA|NCKAP1|CRK|MAPK9|ARHGAP35|PAK1|RASA1|MAP2K7|RHOA|PPP2CA|PPP2R1A|PTPN1|ARPC2|PDGFB|ACTR3|ACTR2|SLC9A3R1|GRB10|RAP1A|RAC1|MAPK8|GRB2|SOS1|DOK1|ACTA2|RAB5A|JUN|BLK|RAPGEF1|CBL|LYN|CSK|FOS|YES1|SRF|JUND|STAT5A|JAK2|LCK|NRAS","PDGFR-beta signaling pathway","118","ENR","PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY","-1.4137","0.0","PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY",,,"false","PDGFR-BETA SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PDGFR-BETA SIGNALING PATHWAY"
"1","-1.0","-0.6334","0.0804","PID_KIT_
PATHWAY%MSIGDB_
C2%PID_KIT_
PATHWAY","1.0","MAPK8|GRB2|SOS1|PTPRO|SPRED1|HRAS|PIK3C2B|CREBBP|DOK1|PTPN11|PTEN|RAF1|BCL2|PIK3CA|STAT1|MAP2K2|SHC1|STAT3|PIK3R1|PDPK1|BAD|MAP4K1|MAPK3|GSK3B|MAP2K1|EPOR|CRKL|RPS6KB1|CBL|VAV1|LYN|PTPN6|SH2B2|KIT|FOXO3|MATK|TEC|SH2B3|GRB10|GRAP2","PID_KIT_PATHWAY","40","ENR","PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY","-1.4378","0.0","PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY",,,"false","PID_KIT_PATHWAY%MSIGDB_C2%PID_KIT_PATHWAY"
"1","-0.996","-0.6597","0.065","INTERLEUKIN-11 
SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2332%HOMO 
SAPIENS ","1.0","FES|GRB2|SRC|HRAS|IL6ST|PTPN11|SOCS3|RAF1|BCL2|STAT1|IKBKB|MAP2K2|CHUK|STAT3|PIK3R1|PDPK1|TYK2|MAPK1|FYN|JAK1|MAPK3|PIK3R2|TGFB1|MAP2K1|RPS6KB1|PIAS1|RPS6KA1|RUNX2|CREB1|RPS6|ITGA2|YES1|ATF1|RELA","Interleukin-11 Signaling Pathway","34","ENR","INTERLEUKIN-11 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2332%HOMO SAPIENS","-1.4699","0.004","INTERLEUKIN-11 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2332%HOMO SAPIENS",,,"false","INTERLEUKIN-11 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2332%HOMO SAPIENS"
"1","-0.997","-0.6438","0.0809","THYMIC STROMAL 
LYMPHOPOIETIN 
(TSLP) SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2203%HOMO 
SAPIENS ","1.0","MAPK8|FES|IL2RA|MYC|SRC|PTPN11|NFKBIA|STAT4|MAPK9|PIK3CA|STAT1|MAP2K2|STAT3|NFKB2|MAPK1|FYN|IL7R|JAK1|MAPK3|STAT5B|MAP2K1|STAT6|LYN|BTK|RELB|RPS6|TEC|MTOR|GAB2|YES1|PI4K2A|MAPK14|CISH|EIF4EBP1|RELA|LCK|NFKB1","Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway","37","ENR","THYMIC STROMAL LYMPHOPOIETIN (TSLP) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2203%HOMO SAPIENS","-1.4361","0.003","THYMIC STROMAL LYMPHOPOIETIN (TSLP) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2203%HOMO SAPIENS",,,"false","THYMIC STROMAL LYMPHOPOIETIN (TSLP) SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2203%HOMO SAPIENS"
"1","-0.998","-0.6983","0.0445","PID_IL2_STAT5_
PATHWAY%MSIGDB_
C2%PID_IL2_STAT5_
PATHWAY","0.986","IL2RA|GRB2|MYC|SOS1|CCNA2|CCND3|PRF1|CCND2|FOXP3|CDK6|PTPN11|IL2RB|BCL2L1|BCL2|PIK3CA|SHC1|GAB2|PIK3R1|IL2RG|SP1|JAK1|JAK3|LCK|STAT5B","PID_IL2_STAT5_PATHWAY","24","ENR","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY","-1.5262","0.002","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY",,,"false","PID_IL2_STAT5_PATHWAY%MSIGDB_C2%PID_IL2_STAT5_PATHWAY"
"1","-0.997","-0.6724","0.0583","PID_ANGIOPOIETIN_
RECEPTOR_
PATHWAY%MSIGDB_
C2%PID_
ANGIOPOIETIN_
RECEPTOR_PATHWAY","1.0","MAPK8|FES|GRB2|PXN|PTPN11|FOXO1|CRK|PIK3CA|SHC1|ITGB1|PIK3R1|CDKN1A|MAPK1|PAK1|FYN|MAPK3|STAT5B|NCK1|RPS6KB1|PLD2|ANGPT2|ANGPT1|ELF2|MAPK14|BMX|RELA|RAC1|NFKB1","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","28","ENR","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY","-1.4954","0.003","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY",,,"false","PID_ANGIOPOIETIN_RECEPTOR_PATHWAY%MSIGDB_C2%PID_ANGIOPOIETIN_RECEPTOR_PATHWAY"
"1","-1.0","-0.7555","0.0068","IL-7 SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO 
SAPIENS ","0.356","CDKN1B|PIK3R2|GSK3B|IL2RA|MYC|MAP2K1|BCL2L1|STAT1|MAP2K2|STAT3|PIK3R1|BAD|IL2RG|MAPK1|PTK2B|IL7|FYN|IL7R|JAK1|JAK3|MAPK3|STAT5B","IL-7 Signaling Pathway","22","ENR","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS","-1.6264","0.0","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS",,,"false","IL-7 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP205%HOMO SAPIENS"
"1","-0.9969","-0.7074","0.0591","SIGNALING BY KIT 
IN 
DISEASE%REACTOME 
DATABASE ID 
RELEASE 
75%9669938 ","1.0","PIK3R2|SOS1|HRAS|LYN|KIT|PIK3CA|STAT1|YES1|STAT3|PIK3R3|PIK3R1|STAT5A|FYN|JAK2|LCK|STAT5B|NRAS","Signaling by KIT in disease","17","ENR","SIGNALING BY KIT IN DISEASE%REACTOME DATABASE ID RELEASE 75%9669938","-1.4916","0.0031","SIGNALING BY KIT IN DISEASE%REACTOME DATABASE ID RELEASE 75%9669938",,,"false","SIGNALING BY KIT IN DISEASE%REACTOME DATABASE ID RELEASE 75%9669938"
"1","-0.9939","-0.663","0.0755","GDNF%IOB%GDNF
","1.0","MAP2K1|SRC|CBL|MAPK7|DOK1|RPS6KB1|PXN|RPS6KA3|NFKBIA|CREB1|RAF1|CRK|MAP2K2|SHC1|GAB2|ATF1|PIK3R1|MAPK1|JUN|PTK2B|FYN|DOK4|DOK6|MAPK3","GDNF","24","ENR","GDNF%IOB%GDNF","-1.4471","0.0061","GDNF%IOB%GDNF",,,"false","GDNF%IOB%GDNF"
"1","-1.0","-0.716","0.0186","PID_RET_
PATHWAY%MSIGDB_
C2%PID_RET_
PATHWAY","0.741","MAPK8|GRB2|SOS1|SRC|HRAS|FRS2|DOK1|PXN|PTPN11|PRKCA|CRK|PIK3CA|SHC1|IRS1|PIK3R1|MAPK1|JUN|MAPK3|NCK1|CREB1|PDLIM7|DOK4|DOK6|GRB10|RAP1A|RAC1","PID_RET_PATHWAY","26","ENR","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY","-1.5826","0.0","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY",,,"false","PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY"
"1","-0.999","-0.6581","0.0651","IL2 SIGNALING 
EVENTS MEDIATED 
BY PI3K%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED DATA%IL2 
SIGNALING EVENTS 
MEDIATED BY PI3K ","1.0","IL2RA|GRB2|SOS1|MYC|MYB|BCL2L1|PTPN11|EIF3A|BCL2|PIK3CA|SHC1|PIK3R1|IL2RG|JAK1|JAK3|SMPD1|AKT1|CALM3|RPS6KB1|HSP90AA1|IL2RB|RPS6|FOXO3|MTOR|GAB2|SGMS1|PRKCZ|UGCG|LCK|RELA|NFKB1|RAC1","IL2 signaling events mediated by PI3K","32","ENR","IL2 SIGNALING EVENTS MEDIATED BY PI3K%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY PI3K","-1.4718","0.001","IL2 SIGNALING EVENTS MEDIATED BY PI3K%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY PI3K",,,"false","IL2 SIGNALING EVENTS MEDIATED BY PI3K%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY PI3K"
"1","-1.0","-0.7035","0.0204","SIGNALING BY 
SCF-KIT%REACTOME 
DATABASE ID 
RELEASE 
75%1433557 ","0.794","FES|SOS1|HRAS|PTPN11|PRKCA|PIK3CA|STAT1|STAT3|PIK3R1|FYN|STAT5B|PIK3R2|CBL|VAV1|LYN|PTPN6|SH2B2|KIT|SOCS6|TEC|GAB2|YES1|GRAP|PIK3R3|FER|STAT5A|SH2B3|MMP9|JAK2|LCK|GRB10|GRAP2|RAC1|NRAS","Signaling by SCF-KIT","34","ENR","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557","-1.5748","0.0","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557",,,"false","SIGNALING BY SCF-KIT%REACTOME DATABASE ID RELEASE 75%1433557"
