"EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"0.99",,"1.0","SIGNALING BY 
MET%REACTOME%R-HSA-6806834.2 ",,"SRC|HRAS|PTPN11|SH3GL1|STAM2|CRK|LRIG1|PIK3CA|LAMA2|STAT3|ITGB1|PIK3R1|LAMB1|LAMC1|PTPN1|SPINT1|SPINT2|RAB4B|STAM|TNS3|DOCK7|RAP1A|RAC1|SOS1|UBB|RAP1B|UBC|UBA52|ARF6|SH3KBP1|MUC20|EPS15|RANBP9|RANBP10|GGA3|HGS|HGF|GAB1|RPS27A|RAPGEF1|CRKL|CBL|PTPRJ|PTPN2|PTK2|RAB4A|ITGA2|USP8|NRAS","Signaling by MET","49","ENR","SIGNALING BY MET%REACTOME%R-HSA-6806834.2","1.0","0.01","SIGNALING BY MET%REACTOME%R-HSA-6806834.2","false","SIGNALING BY MET%REACTOME%R-HSA-6806834.2"
"0.99",,"1.0","REPLICATION FORK 
PROCESSING%GOBP%GO:0031297 ",,"FAM111A|RTEL1|BOD1L1|SETMAR|SAMHD1|NUCKS1|ETAA1|GEN1|CDK9|PCNA|TONSL|MMS22L|EXD2|BRCA2|DNA2|SMARCAL1|ATR|WRN|ALYREF|ATRX|DDX11|FANCM|ZRANB3|PRIMPOL|BLM|THOC1|RFWD3|EME1|EME2","replication fork processing","29","ENR","REPLICATION FORK PROCESSING%GOBP%GO:0031297","1.0","0.01","REPLICATION FORK PROCESSING%GOBP%GO:0031297","false","REPLICATION FORK PROCESSING%GOBP%GO:0031297"
"0.99",,"1.0","TUBE 
FORMATION%GOBP%GO:0035148 ",,"PAX8|DVL1|LMO4|MTHFD1L|PHACTR4|ITGB1BP1|NOTCH1|STIL|BBS4|SDCCAG8|DVL2|SKI|PODXL|VEGFA|LUZP1|FGFR2|KDM2B|FUZ|TGFB1|IFT122|MTHFR|ATOH8|BCL10|SOX4|LRP6|CELSR1|DEAF1|PLXNB2|GATA3|PRICKLE1|SCRIB|CEP290|VASP|MTHFD1|SEMA4C|DVL3|TSC2|BCAS3","tube formation","38","ENR","TUBE FORMATION%GOBP%GO:0035148","1.0","0.01","TUBE FORMATION%GOBP%GO:0035148","false","TUBE FORMATION%GOBP%GO:0035148"
"0.99",,"1.0","VIF-MEDIATED 
DEGRADATION OF 
APOBEC3G%REACTOME 
DATABASE ID 
RELEASE 
75%180585 ",,"PSMD14|PSMD13|PSMA7|PSMB10|UBB|PSMB6|UBC|PSMB7|PSMB4|PSMB5|PSMB2|PSMB3|PSMB1|UBA52|PSMF1|PSMB8|PSMB9|PSMC5|PSMC6|PSMC3|PSMC4|PSMC1|PSMC2|PSMD8|PSMD9|PSMD6|PSMD7|PSMD4|PSMD5|PSMD2|PSMD3|PSMD1|RPS27A|PSMA5|PSMA6|PSMA3|PSME2|RBX1|CUL5|PSMA4|PSMA1|PSMA2|PSME3|PSME4|PSME1|PSMD10|PSMD12|PSMD11","Vif-mediated degradation of APOBEC3G","48","ENR","VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME DATABASE ID RELEASE 75%180585","1.0","0.01","VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME DATABASE ID RELEASE 75%180585","false","VIF-MEDIATED DEGRADATION OF APOBEC3G%REACTOME DATABASE ID RELEASE 75%180585"
"0.99",,"1.0","NS1 MEDIATED 
EFFECTS ON HOST 
PATHWAYS%REACTOME 
DATABASE ID 
RELEASE 
75%168276 ",,"EIF2AK2|KPNA2|AAAS|KPNA3|NUP50|NUP54|NUP214|RANBP2|NUP43|NUP210|NUP35|NUP37|KPNB1|NUP205|POM121C|NUP85|NUP88|POM121|TPR|NDC1|RAE1|NUP188|SEC13|NUP62|CPSF4|KPNA5|NUP160|NUP107|NUP155|NUP153|NUP93|NUP133|KPNA1|ISG15|KPNA4|PABPN1","NS1 Mediated Effects on Host Pathways","36","ENR","NS1 MEDIATED EFFECTS ON HOST PATHWAYS%REACTOME DATABASE ID RELEASE 75%168276","1.0","0.01","NS1 MEDIATED EFFECTS ON HOST PATHWAYS%REACTOME DATABASE ID RELEASE 75%168276","false","NS1 MEDIATED EFFECTS ON HOST PATHWAYS%REACTOME DATABASE ID RELEASE 75%168276"
"0.99",,"1.0","REGULATION OF 
PEPTIDE 
SECRETION%GOBP%GO:0002791 ",,"PAX8|BRSK2|ENSA|CACNA2D2|RHBDF2|BMP8A|PER2|IRS1|KLF7|ERP29|TGFB3|RAB11FIP3|RSAD2|TNF|C1QTNF3|NNAT|PTPN23|FFAR2|CD74|MYOM1|GOLPH3|LLGL1|APBB1|LLGL2|EZR|CD200|CDK16|TLR2|DPH3|TCF7L2|TLR4|SLC12A2|EXPH5|PPP3CB|CCL5|GHRL|BMP6|RAB11FIP1|TMED10|SLC8B1|MYO18A|STX4|AGER|CD2AP|TGFB1|APBB3|SERGEF|IER3IP1|DNAJC1|CHD7|FRMD4A|NR1D1|STXBP5|EXOC1|SORL1|ALOX5|MCU|STXBP4|LRRC8A|HADH|TFR2|C2CD2L|AACS|F2R|TM7SF3|ACSL4|MIDN|UQCC2|MYRIP|TTN|RAPGEF4|RFX3|CD33|CACNA1A|GLUD1|PRKCA|ARFIP1|ITPR1|ITPR2|ITPR3|CAPN10|DISP1|IRS2|CACNA1E|AIMP1|PICK1|CHGA|OPRM1|KCNG2|LRP5L|WLS|HMGCR|HFE|RAP1A|CACNA1D|PPIA|ADTRP|CLOCK|GOLPH3L|GPLD1|ARNTL|DPP4|BAIAP3|CYP51A1|ARF6|DNM1L|ABCG1|RAPGEF3|NR1H3|F2RL1|PSMD9|BAD|BLK|UNC13B|EFNA5|IL1B|SLC2A1|ADAM9|PPID|SOX4|HCAR2|PIM3|MYH10|PASK|CACNA1C|ADAM8|ATP13A2|RAB11FIP5|PLA2G6|REST","regulation of peptide secretion","130","ENR","REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002791","1.0","0.01","REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002791","false","REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002791"
"0.99",,"1.0","T CELL 
MIGRATION%GOBP%GO:0072678 ",,"SLC12A2|PIK3CD|CCR6|CXCL16|GPR183|CD99|MYO1G|PIK3CG|DEFA1B|S1PR1|F11R|ZAP70|MSN|CCR2|ITGAL","T cell migration","15","ENR","T CELL MIGRATION%GOBP%GO:0072678","1.0","0.01","T CELL MIGRATION%GOBP%GO:0072678","false","T CELL MIGRATION%GOBP%GO:0072678"
"0.99",,"1.0","ION TRANSPORT BY 
P-TYPE 
ATPASES%REACTOME%R-HSA-936837.3 ",,"ATP8B2|ATP9A|ATP8A2|ATP8B1|PLN|ATP2A3|ATP2A2|ATP2B4|FXYD6|CUTC|ATP2B1|ATP2C1|ATP1B3|ATP7B|ATP11A|SRI|CAMK2D|ATP1B1|ATP1A1|ATP2C2|CALM1|CAMK2G|ATP7A|PDZD11|ATP13A1|ATP13A4|ATP13A2|ATP8A1|ATP10D|ATP10A|ATP8B4|ATP11C|ATP11B|ATP9B","Ion transport by P-type ATPases","34","ENR","ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.3","1.0","0.01","ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.3","false","ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.3"
"0.99",,"1.0","MORPHOGENESIS OF 
EMBRYONIC 
EPITHELIUM%GOBP%GO:0016331 ",,"WNT16|PAX8|DVL1|LMO4|MTHFD1L|PHACTR4|STIL|BBS4|DVL2|SKI|LUZP1|FGFR2|KDM2B|FUZ|TGFB1|IFT122|MTHFR|BCL10|SOX4|LRP6|CELSR1|DEAF1|PLXNB2|GATA3|PRICKLE1|SCRIB|VASP|MTHFD1|SEMA4C|DVL3|TSC2","morphogenesis of embryonic epithelium","31","ENR","MORPHOGENESIS OF EMBRYONIC EPITHELIUM%GOBP%GO:0016331","1.0","0.01","MORPHOGENESIS OF EMBRYONIC EPITHELIUM%GOBP%GO:0016331","false","MORPHOGENESIS OF EMBRYONIC EPITHELIUM%GOBP%GO:0016331"
"0.99",,"1.0","RESPONSE TO 
PEPTIDE 
HORMONE%GOBP%GO:0043434 ",,"ADCY3|TSHR|PCK2|PIK3CA|IDE|EIF2B5|EIF2B4|EIF2B3|SHC1|EIF2B2|APC|IRS1|EIF2B1|STAT3|SORT1|PIK3R1|INSR|JAK3|PARP1|STAT5B|CPEB2|GSK3B|AKT1|GSK3A|IGF1R|RPS6KB1|CREB1|RAB8A|PRKACA|ZBTB7B|TCIRG1|ATP6V1H|ATP6V0A2|SLC27A1|ATP6V1E1|ATP6V1G1|ATP6V0E1|ATP6V1C1|ROCK2|ATP6V1C2|ATP6V0B|ATP6V0C|INSIG2|ATP6V0E2|EIF6|ATP6V0D1|PHIP|ROCK1|STAT2|SLC39A14|INSIG1|ATP6V1A|LPIN1|ATP6V1D|LPIN2|ATP6V1F|ATP6V0A1|FOXO4|RAB10|GNAI1|ATP6V1B2|STAT1|HDAC5|PDPK1|HDAC9|SYAP1|INPP5K|GAB1|PIK3R2|APPL1|SORBS1|RHOQ|PIK3C2A|USF1|PTPN2|PRKCD|PTK2|VAMP2|PDK2|C2CD5|RELA|SLC25A33|NFKB1|ZDHHC7|SRC|PRKAR1B|BCAR3|PRKAR1A|BAIAP2|SIRT1|PRKCI|RAB8B|CRHR1|PRLR|SLC27A4|CAPN10|RAB31|AHCYL1|ZBED3|CRY1|IRS2|TSC1|ADCY9|PTPN1|ZFP36L1|TRIB3|PDE3B|PRKAR2A|PRKAR2B|PDK4|GRB10|SOCS2|GRB2|SOS1|TBC1D4|PXN|CYSLTR2|FOXO1|ADCY4|ZNF106|NR4A1|RAB12|AP3S1|STAT4|NAMPT|GPLD1|RAB15|EPM2AIP1|MYO5A|AKT2|GOT1|SOGA1|PKM|KAT2B|DENND4C|CEACAM1|XBP1|TRIM16|ATP6AP1|STAT6|PRKACB|LYN|SH2B2|ANXA1|TGFBR3|ADCY7|PIK3R3|FER|STAT5A|JAK2|PRKDC|CA2","response to peptide hormone","152","ENR","RESPONSE TO PEPTIDE HORMONE%GOBP%GO:0043434","1.0","0.01","RESPONSE TO PEPTIDE HORMONE%GOBP%GO:0043434","false","RESPONSE TO PEPTIDE HORMONE%GOBP%GO:0043434"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
APOPTOTIC 
SIGNALING 
PATHWAY%GOBP%GO:2001235 ",,"YWHAE|YWHAQ|TIMP3|FIS1|YWHAG|HTRA2|PML|YWHAB|PTEN|CIDEB|WWOX|CRADD|RPS7|SIAH1|PYCARD|LTBR|NACC2|TNF|GSK3B|YWHAZ|GSK3A|DDIT3|TNFSF10|SFPQ|FAM162A|PAK2|THBS1|HYAL2|HIP1R|SLC9A3R1|CYLD|PMAIP1|BMF|TRAF7|BCAP31|RIPK1|TRAF2|TP53BP2|BBC3|PPP1R13B|MAPK8|UBB|GSN|MOAP1|GZMB|BAK1|BCL2L1|PLAUR|PPP3R1|BID|PPP3CC|MCL1|RPL26|BCL2L11|BCL2|TP63|ING5|BNIP3|DNM1L|TNFSF12|BOK|BAX|MFF|PRR7|TFDP1|RPS3|TFDP2|BAD|CASP8|LGALS9|TP53|FADD|FAS|NCK1|DEDD2|BCL10|YWHAH|CHCHD10|NMT1|SOD1|PPP2R1B|FBXW7|ST18|BCLAF1|TRIM39|PINK1|BECN1|TGFBR1|PPIF|MMP9|PDCD5|S100A9|JAK2|S100A8|LCK|STYXL1","positive regulation of apoptotic signaling pathway","96","ENR","POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235","1.0","0.01","POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235","false","POSITIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001235"
"0.99",,"1.0","SIGNALING EVENTS 
REGULATED BY RET 
TYROSINE 
KINASE%PATHWAY 
INTERACTION 
DATABASE 
NCI-NATURE 
CURATED 
DATA%SIGNALING 
EVENTS REGULATED 
BY RET TYROSINE 
KINASE ",,"MAPK8|GRB2|SOS1|SRC|HRAS|FRS2|DOK1|PXN|PTPN11|PRKCA|CRK|PIK3CA|SHC1|IRS1|PIK3R1|JUN|MAPK1|IRS2|RASA1|RHOA|MAPK3|GAB1|NCK1|CREB1|PTK2|PRKACA|PDLIM7|DOK4|DOK6|GRB10|RAP1A|RAC1","Signaling events regulated by Ret tyrosine kinase","32","ENR","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE","1.0","0.01","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE","false","SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS REGULATED BY RET TYROSINE KINASE"
"0.99",,"1.0","MITOTIC SPINDLE 
CHECKPOINT%REACTOME%R-HSA-69618.2 ",,"ANAPC15|ANAPC7|DYNC1LI1|SKA2|PPP2R5D|ANAPC16|UBE2E1|DYNC1LI2|ANAPC11|UBE2S|XPO1|CDC26|CDC16|ANAPC4|SPDL1|NDEL1|ZW10|NDC80|NDE1|UBE2D1|CDC23|CDC27|TAOK1|PPP2CA|PPP2CB|ANAPC5|ANAPC1|RANGAP1|KIF18A|B9D2|CLASP1|ANAPC2|PPP2R1A|CLASP2|ANAPC10|KIF2A|ZWILCH|PAFAH1B1|AHCTF1|DYNC1H1|PPP1CC|BUB3|PPP2R5B|PPP2R5A|RCC2|DYNLL1|KNTC1|MAPRE1|INCENP|MAD1L1|RANBP2|NUP43|NUP37|DYNLL2|NUP85|RPS27|SEC13|NUP160|NUDC|NUP107|CENPE|MIS12|PPP2R5E|NSL1|PPP2R5C|SPC25|ITGB3BP|PPP2R1B|ERCC6L|NUP133|PMF1|CENPC|DSN1|CENPF|KIF2C|CENPT|CENPU|CKAP5|CLIP1|BUB1|CENPK|DYNC1I2|CENPL|CENPN|CENPO|CENPP|CENPQ","Mitotic Spindle Checkpoint","87","ENR","MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.2","1.0","0.01","MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.2","false","MITOTIC SPINDLE CHECKPOINT%REACTOME%R-HSA-69618.2"
"0.99",,"1.0","HALLMARK_KRAS_
SIGNALING_
UP%MSIGDB_
C2%HALLMARK_KRAS_
SIGNALING_UP",,"NAP1L2|LY96|CCND2|SPON1|ENG|CXCR4|SDCCAG8|MTMR10|BPGM|PLEK2|PTGS2|STRN|IL2RG|MAP4K1|PRKG2|LCP1|CMKLR1|GNG11|IL7R|ETV4|CTSS|PTCD2|TMEM158|PRDM1|IL10RA|PLVAP|KLF4|SLPI|SCG3|ZNF277|GYPC|CFH|HSD11B1|AMMECR1|TFPI|ANKH|YRDC|MMD|CCSER2|CD37|CDADC1|USP12|TRIB1|ZNF639|LAPTM5|PPBP|MAFB|EPB41L3|TNFRSF1B|EPHB2|ATG10|PLAUR|ID2|PPP1R15A|C3AR1|IKZF1|CROT|TLR8|FLT4|IRF8|F2RL1|TNFAIP3|HDAC9|NRP1|PECAM1|FBXO4|RBM4|AKAP12|TRAF1|IL1B|KCNN4|SATB1|GALNT3|LAT2|CBL|ADAM17|BIRC3|WNT7A|CLEC4A|ST6GAL1|JUP|CBR4|ADAM8|WDR33|DOCK2|ITGA2|TRIB2|FCER1G|PDCD1LG2|GLRX|ARG1|MMP9|MAP3K1|F13A1|DCBLD2|ABCB1","HALLMARK_KRAS_SIGNALING_UP","96","ENR","HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP","1.0","0.01","HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP","false","HALLMARK_KRAS_SIGNALING_UP%MSIGDB_C2%HALLMARK_KRAS_SIGNALING_UP"
"0.99",,"1.0","RESPONSE TO 
ISCHEMIA%GOBP%GO:0002931 ",,"CSF1|CPEB4|CIB1|STUB1|P2RX7|MLYCD|PER2|P2RX4|HYOU1|PPIF|CSF1R|REST|CX3CR1|ROCK2|PIK3CB","response to ischemia","15","ENR","RESPONSE TO ISCHEMIA%GOBP%GO:0002931","1.0","0.01","RESPONSE TO ISCHEMIA%GOBP%GO:0002931","false","RESPONSE TO ISCHEMIA%GOBP%GO:0002931"
"0.99",,"1.0","
PEPTIDYL-THREONINE 
MODIFICATION%GOBP%GO:0018210 ",,"CSNK2A1|ACVR1|CSNK2A2|LMTK2|PRKCB|WNK1|PRKCA|DYRK1A|DYRK1B|TNKS|HIPK1|MAPK1|TAF1|STK39|PRKD2|GSK3B|AKT1|GSK3A|MAP2K1|CAMK2D|HIPK3|CDC42BPA|HIPK2|PKN1|DYRK2|TBK1|VRK1|LRRK2|CDK5|ROCK2|MAPK8|ROCK1|NLK|CDK10|GALNT11|PDPK1|GALNTL6|GALNT4|GALNT3|GALNT2|GALNT1|PRKCD|MAP3K10|MAP3K12|ULK1|CDK5R1|PRKD1|DYRK3|TGFBR1|TGFBR2|CIT|DYRK4|EOGT|CDC42BPB|PRKDC|ACVR1B|SBK1|CAD|CSNK2B|MARK2|OXSR1","peptidyl-threonine modification","61","ENR","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210","1.0","0.01","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210","false","PEPTIDYL-THREONINE MODIFICATION%GOBP%GO:0018210"
"0.99",,"1.0","INSULIN RECEPTOR 
SIGNALING 
PATHWAY%GOBP%GO:0008286 ",,"BCAR3|BAIAP2|PIK3CA|IDE|SHC1|APC|IRS1|PIK3R1|INSR|IRS2|GSK3B|AKT1|GSK3A|IGF1R|TCIRG1|ATP6V1H|ATP6V0A2|PDK4|ATP6V1E1|ATP6V1G1|ATP6V0E1|GRB10|ATP6V1C1|ATP6V1C2|ATP6V0B|ATP6V0C|GRB2|ATP6V0E2|ATP6V0D1|SOS1|PHIP|SLC39A14|ATP6V1A|ATP6V1D|ATP6V1F|ATP6V0A1|FOXO4|ATP6V1B2|FOXO1|ZNF106|AP3S1|NAMPT|GPLD1|AKT2|SOGA1|GAB1|PIK3R2|APPL1|SORBS1|RHOQ|PIK3C2A|ATP6AP1|PTPN2|SH2B2|PDK2|PIK3R3|FER|C2CD5","insulin receptor signaling pathway","58","ENR","INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008286","1.0","0.01","INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008286","false","INSULIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008286"
"0.99",,"1.0","ERYTHROCYTE 
HOMEOSTASIS%GOBP%GO:0034101 ",,"FLVCR1|ZBTB7A|AHSP|RPS14|RPS17|KLF1|UBA5|RPS19|SLC25A38|NCKAP1L|HSPA9|SLC25A5|ID2|HMOX1|IKZF1|VEGFA|UFL1|MFHAS1|HCLS1|LYAR|JAK3|ALAS1|ACIN1|CEBPG|DMTN|PTPN2|TAL1|HIPK2|GATA1|LYN|MED1|KIT|RPS24|KMT2E|ALAS2|CASP3|G6PD|DYRK3|CDK5RAP3|TGFBR3|SH2B3|ZFPM1|JAK2","erythrocyte homeostasis","43","ENR","ERYTHROCYTE HOMEOSTASIS%GOBP%GO:0034101","1.0","0.01","ERYTHROCYTE HOMEOSTASIS%GOBP%GO:0034101","false","ERYTHROCYTE HOMEOSTASIS%GOBP%GO:0034101"
"0.99",,"1.0","BLOOD 
COAGULATION%GOBP%GO:0007596 ",,"GNA13|CBX5|CAPZB|RCOR1|HBB|RAF1|PIK3CA|PRKCE|HMG20B|CD40LG|P2RX4|MYL12A|PIK3R1|HBD|IRF1|MAPK1|FYN|ADORA2A|PAFAH2|MAPK3|PLCG2|YWHAZ|VAV2|TRPC6|CAPZA1|CAPZA2|HDAC2|HDAC1|KDM1A|GATA1|NFE2|PRKCQ|CSRP1|CLEC1B|PRKACA|GP6|GP1BA|GP5|MYL9|CD9|TREML1|GP9|ACTB|CLIC1|GP1BB|PF4|ZFPM1|PLSCR1|CD40|GNG2|GNB1|IRF2|STXBP1|GNAI1|C1QBP|ITGB3|CDC42|SERPIND1|GATA2|PDPK1|DGKG|DGKE|DGKA|DGKZ|DGKH|PIK3CB|AKAP10|ITPK1|ACTN1|GNAS|AKAP1|PRKCD|DOCK9|STXBP3|PRKCH|PIK3R6|DGKD|PIK3CG|MFN2|F2R|MAPK14|FERMT3|ARRB1|GNAI2|BLOC1S3|SRC|HSPB1|PRKAR1B|PTPN11|PRKAR1A|GNAQ|PRKCB|PRKCA|ITPR1|TLN1|ITPR2|ITPR3|PLEK|DOCK1|CD36|FLNA|GGCX|MICAL1|GNAI3|EHD3|SERPING1|F8|VCL|DGKQ|VPS45|AK3|MAFG|WAS|RAD51B|ACTG1|ILK|RAD51C|SH2B1|VKORC1|PRKAR2A|PRKAR2B|LMAN1|RAC1|LCP2|GNA15|RAP2B|PPIA|VWF|FN1|PLAUR|F2RL2|PRCP|DOCK11|P2RY12|RAB5A|SYK|THBD|UBASH3B|CD177|VAV3|PIK3R5|EHD1|ANO6|MYH9|CD59|HBG2|HBG1|ADAMTS13|VAV1|PRKACB|LYN|GNA12|PTPN6|SH2B2|GATA3|METAP1|P2RX7|P2RX5|FIBP|P2RX1|JMJD1C|MAFF|MAFK|ITGA2|FCER1G|PHF21A|PABPC4|ENTPD1|F5|SH2B3|PROS1|F13A1|JAK2|LCK|ARRB2","blood coagulation","175","ENR","BLOOD COAGULATION%GOBP%GO:0007596","1.0","0.01","BLOOD COAGULATION%GOBP%GO:0007596","false","BLOOD COAGULATION%GOBP%GO:0007596"
"0.99",,"1.0","HISTONE 
ACETYLATION%GOBP%GO:0016573 ",,"KANSL1|MSL3|JADE1|YEATS4|MORF4L2|JADE3|JADE2|RUVBL1|SUPT7L|KAT6B|HAT1|TAF5L|MBIP|EP400|DMAP1|DR1|BRPF1|BRPF3|MRGBP|YEATS2|TADA3|TADA1|PHF14|PHF20L1|MSL2|MSL1|TAF9|SPHK2|BRD1|ATF2|TAF12|WDR5|TAF10|KANSL2|KANSL3|TAF5|KMT2A|EPC1|APBB1|KAT8|KAT7|HCFC1|PER1|MEAF6|MAP3K7|KAT2A|CREBBP|LEF1|TRRAP|ZZZ3|TADA2A|PHF20|ING4|ING5|ING3|EP300|KAT2B|SUPT3H|TAF6L|NAA50|BRCA2|SPI1|TRIM16|TAF6|NAA40|NAA60|KAT5|ACTL6A|POLE3|LDB1|RUVBL2|MORF4L1|BRD8|KAT6A|MCRS1","histone acetylation","75","ENR","HISTONE ACETYLATION%GOBP%GO:0016573","1.0","0.01","HISTONE ACETYLATION%GOBP%GO:0016573","false","HISTONE ACETYLATION%GOBP%GO:0016573"
"0.99",,"1.0","NEGATIVE 
REGULATION OF 
MUSCLE CELL 
DIFFERENTIATION%GOBP%GO:0051148 ",,"GSK3A|FRS2|CFLAR|FOXO4|HDAC1|DNMT1|BDNF|PDGFB|NOTCH1|ID2|ZBED6|NFATC3|PTBP1|NFATC1|HDAC3|NFATC2|HDAC5|SMAD4|HDAC4|PDCD4|XBP1|SOX6","negative regulation of muscle cell differentiation","22","ENR","NEGATIVE REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051148","1.0","0.01","NEGATIVE REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051148","false","NEGATIVE REGULATION OF MUSCLE CELL DIFFERENTIATION%GOBP%GO:0051148"
"0.99",,"1.0","G0 AND EARLY 
G1%REACTOME 
DATABASE ID 
RELEASE 
75%1538133 ",,"CDK2|TOP2A|LIN37|MYC|LIN9|CCNA2|LIN54|LIN52|RBL2|HDAC1|RBL1|E2F4|DYRK1A|CCNE2|E2F5|MAX|TFDP1|TFDP2|PCNA|MYBL2|RBBP4","G0 and Early G1","21","ENR","G0 AND EARLY G1%REACTOME DATABASE ID RELEASE 75%1538133","1.0","0.01","G0 AND EARLY G1%REACTOME DATABASE ID RELEASE 75%1538133","false","G0 AND EARLY G1%REACTOME DATABASE ID RELEASE 75%1538133"
"0.99",,"1.0","POSITIVE 
REGULATION OF 
PHOSPHOPROTEIN 
PHOSPHATASE 
ACTIVITY%GOBP%GO:0032516 ",,"CALM3|CD33|PTPRC|CALM2|CALM1|PPP1R15A|CD300A|HSP90AB1|MTOR|PPP1R12A|PPP1R15B|ITGA1|MAGI2|PDGFRB|FCRL3","positive regulation of phosphoprotein phosphatase activity","15","ENR","POSITIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0032516","1.0","0.01","POSITIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0032516","false","POSITIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY%GOBP%GO:0032516"
"0.99",,"1.0","NRF2 
PATHWAY%WIKIPATHWAYS_20210210%WP2884%HOMO 
SAPIENS ",,"SLC7A11|HMOX1|ME1|SRXN1|ABCC3|SQSTM1|ABCC2|FGF13|SLC2A9|KEAP1|GPX3|SLC39A13|SLC2A3|SLC2A14|SLC2A11|MGST3|SLC5A10|SLC5A4|SLC5A9|SLC2A12|DNAJB1|ABCC5|SLC6A16|TXN|SLC6A8|SLC6A9|SLC39A14|SLC39A1|SLC39A3|FTL|SLC5A2|GSTM2|HSP90AB1|SLC39A6|SLC39A9|SLC2A13|SLC39A8|SERPINA1|GSTT2|SLC5A6|HGF|TGFB1|SLC39A11|SLC39A10|MGST2|SLC2A6|RXRA|CES2|CES1|NFE2L2|NRG1|TGFA|GCLC|MAFF|PTGR1|GSTM1|TGFBR2|GPX2|GCLM|FTH1","NRF2 pathway","60","ENR","NRF2 PATHWAY%WIKIPATHWAYS_20210210%WP2884%HOMO SAPIENS","1.0","0.01","NRF2 PATHWAY%WIKIPATHWAYS_20210210%WP2884%HOMO SAPIENS","false","NRF2 PATHWAY%WIKIPATHWAYS_20210210%WP2884%HOMO SAPIENS"
