"__mclCluster","EnrichmentMap::Colouring (GSEAresults)","EnrichmentMap::ES (GSEAresults)","EnrichmentMap::fdr_qvalue (GSEAresults)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (GSEAresults)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (GSEAresults)","EnrichmentMap::pvalue (GSEAresults)","name","selected","shared name"
"10","-1.0","-0.745","0.0039","REGULATION OF 
MECP2 EXPRESSION 
AND 
ACTIVITY%REACTOME%R-HSA-9022692.1 ","0.2","NCOR1|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|LBR|CAMK2D|HDAC2|TBL1XR1|HDAC1|HIPK2|NCOR2|CREB1|CALM1|CAMK2G|PRKACA|HTT|CAMK4|HDAC3|TBL1X|SIN3A|GPS2|MOV10","Regulation of MECP2 expression and activity","26","ENR","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1","-1.6545","0.0","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1","false","REGULATION OF MECP2 EXPRESSION AND ACTIVITY%REACTOME%R-HSA-9022692.1"
"4","1.0","0.6081","0.0089","ANTIMICROBIAL 
HUMORAL IMMUNE 
RESPONSE 
MEDIATED BY 
ANTIMICROBIAL 
PEPTIDE%GOBP%GO:0061844 ","0.024","ROMO1|RPS19|SPAG11A|RNASE6|DEFA4|DEFA3|PGLYRP1|GAPDH|GNLY|RPL39|RPL30|DEFA1B|CAMP|S100A12|CXCL5|PPBP|SPAG11B|PF4|CXCL1|PF4V1|LTF|S100A9|FAM3A|HMGN2","antimicrobial humoral immune response mediated by antimicrobial peptide","24","ENR","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844","2.0952","0.0","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844","false","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844"
"1","-1.0","-0.7822","0.0086","BIOCARTA_CXCR4_
PATHWAY%MSIGDB_
C2%BIOCARTA_
CXCR4_PATHWAY","0.434","MAP2K1|HRAS|GNAQ|CXCR4|PRKCB|RAF1|PRKCA|CRK|PIK3CA|PIK3R1|MAPK1|PTK2B|RELA|MAPK3|NFKB1","BIOCARTA_CXCR4_PATHWAY","15","ENR","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY","-1.6172","0.0","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY","false","BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY"
,"-1.0","-0.7201","0.0203","PID_IFNG_
PATHWAY%MSIGDB_
C2%PID_IFNG_
PATHWAY","0.786","CREBBP|PTPN11|PIK3CA|EP300|STAT1|STAT3|PIK3R1|IRF1|MAPK1|JAK1|MAPK3|IL1B|MAP2K1|RAPGEF1|CRKL|CBL|CAMK2D|IFNGR1|PIAS1|IRF9|MAP3K11|CAMK2G|CEBPB|MTOR|MAP3K1|RAP1A","PID_IFNG_PATHWAY","26","ENR","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY","-1.5765","0.0","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY","false","PID_IFNG_PATHWAY%MSIGDB_C2%PID_IFNG_PATHWAY"
"3","-1.0","-0.6633","0.05","IL-2 SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO 
SAPIENS ","1.0","GRB2|IL2RA|MYC|SOS1|HRAS|NMI|PTPN11|SOCS3|RAF1|BCL2|STAT1|MAP2K2|SHC1|STAT3|PIK3R1|SYK|IL2RG|JUN|MAPK1|PTK2B|FYN|JAK1|JAK3|MAPK3|STAT5B|MAP2K1|CRKL|RPS6KB1|CBL|RPS6KB2|IL2RB|RPS6|FOXO3|FOS|GAB2|CISH|LCK","IL-2 Signaling Pathway","37","ENR","IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO SAPIENS","-1.5123","0.0","IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO SAPIENS","false","IL-2 SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP49%HOMO SAPIENS"
"3","-1.0","-0.7658","0.0031","IL-7%NETPATH%IL
-7
","0.16","GSK3B|GSK3A|MAP2K1|FOXO1|FOXO3|STAT1|MAP2K2|SHC1|IRS1|CLTC|STAT3|PIK3R1|BAD|IL2RG|MAPK1|IL7|PTK2B|FYN|IL7R|JAK1|JAK3|MAPK3|STAT5B","IL-7","23","ENR","IL-7%NETPATH%IL-7","-1.6646","0.0","IL-7%NETPATH%IL-7","false","IL-7%NETPATH%IL-7"
"2","-1.0","-0.7057","0.0379","POSITIVE 
REGULATION OF 
NOTCH SIGNALING 
PATHWAY%GOBP%GO:0045747 ","0.968","SRC|CREBBP|IL6ST|MAML2|MAML1|RBPJ|ITGB1BP1|MAML3|PRKCI|PDCD10|NOTCH1|EPN2|SNW1|TP63|JAG1|POGLUT1|EP300|BMP2K|KAT2B|TM2D3|TSPAN5|NOD2|ZMIZ1|TSPAN14|AAK1|STAT3|ROBO1","positive regulation of Notch signaling pathway","27","ENR","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747","-1.538","0.0","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747","false","POSITIVE REGULATION OF NOTCH SIGNALING PATHWAY%GOBP%GO:0045747"
"2","-1.0","-0.7779","6.0E-4","PRE-NOTCH 
TRANSCRIPTION 
AND 
TRANSLATION%REACTOME%R-HSA-1912408.4 ","0.031","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|PRKCI|NOTCH1|SNW1|EP300|KAT2B|NOTCH2|E2F3|TFDP1|TFDP2|SIRT6|JUN|RUNX1|TP53|TNRC6C|AGO3|AGO4|AGO1|AGO2|TNRC6A|TNRC6B|MOV10","Pre-NOTCH Transcription and Translation","28","ENR","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4","-1.7253","0.0","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4","false","PRE-NOTCH TRANSCRIPTION AND TRANSLATION%REACTOME%R-HSA-1912408.4"
"5","-0.9959","-0.74","0.0443","NEGATIVE 
REGULATION OF 
MICROTUBULE 
DEPOLYMERIZATION%GOBP%GO:0007026 ","0.991","CLASP1|MID1IP1|CLASP2|NAV3|CIB1|CAMSAP1|CAMSAP2|TTBK2|ATXN7|KATNB1|APC|ARHGEF2|APC2|TAOK1|FGF13","negative regulation of microtubule depolymerization","15","ENR","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026","-1.5237","0.0041","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026","false","NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026"
"3","-1.0","-0.6511","0.0492","LEPTIN SIGNALING 
PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO 
SAPIENS ","0.997","HRAS|SRC|PTPN11|PTEN|RAF1|ERBB2|MAP2K2|SHC1|IRS1|EIF4E|STAT3|PIK3R1|MAPK1|FYN|MAPK3|STAT5B|GSK3B|PLCG2|GSK3A|MAP2K1|PTPN1|RPS6KB1|RPS6KA1|CREB1|MTOR|ACACA|CFL2|SH2B1|IL1RN|PDE3B|LEPR|KPNA4|CISH|KHDRBS1|ACACB|ROCK2|SOCS2|RAC1|SOCS7|MAPK8|REL|GRB2|SOS1|ROCK1|FOXO1|BCL2L1|SOCS3|CDC42|STAT1|BAX|IKBKB|IKBKG|CHUK|BAD|PRKAA1|JAK1|PIK3R2|IL1B|NCOA1|RPS6|SP1|MAPK14|EIF4EBP1|RELA|NFKB1","Leptin signaling pathway","65","ENR","LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO SAPIENS","-1.5154","0.0","LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO SAPIENS","false","LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20210210%WP2034%HOMO SAPIENS"
"2","-1.0","-0.8478","3.0E-4","NOTCH4 
INTRACELLULAR 
DOMAIN REGULATES 
TRANSCRIPTION%REACTOME%R-HSA-9013695.1 ","0.015","KAT2A|CREBBP|MAML2|MAML1|MAMLD1|RBPJ|MAML3|NOTCH1|SNW1|EP300|KAT2B|SMAD3|ACTA2|FLT4|NOTCH2","NOTCH4 Intracellular Domain Regulates Transcription","15","ENR","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1","-1.7503","0.0","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1","false","NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.1"
"8","1.0","0.4921","0.0161","INTERFERON ALPHA 
BETA 
SIGNALING%REACTOME 
DATABASE ID 
RELEASE 
75%909733 ","0.054","STAT2|IRF2|BST2|PTPN11|IRF3|SOCS3|IFITM2|IRF5|ISG20|ADAR|IFNAR1|XAF1|IFI35|SAMHD1|IP6K2|PSMB8|IFIT3|MX2|OASL|IFIT5|IFIT1|IRF4|IFI6|IRF8|TYK2|IRF1|OAS2|OAS3|RNASEL|JAK1|RSAD2|OAS1|ABCE1|IFI27|PTPN1|IRF9|IRF7|PTPN6|USP18|GBP2|MX1|ISG15|IFIT2|IFITM3|IFITM1","Interferon alpha beta signaling","45","ENR","INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733","2.0117","0.0","INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733","false","INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 75%909733"
,"-0.999","-0.8017","0.0014","PEPTIDE 
CATABOLIC 
PROCESS%GOBP%GO:0043171 ","0.073","NAALADL1|LTA4H|ANPEP|TPP1|ADAMTS13|ECE1|LNPEP|NPEPPS|CPQ|ERAP2|ERAP1|CHAC2|IDE|GGT1|GGT7|XPNPEP1|CTSH","peptide catabolic process","17","ENR","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171","-1.6922","0.001","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171","false","PEPTIDE CATABOLIC PROCESS%GOBP%GO:0043171"
